Feature,Importance
COL5A2.1,0.1941793512571916
COL5A2,0.17762981965620295
COL5A2.2,0.15804940640812334
NDNF.2,0.062267528281343056
SST,0.05202651101962169
NDNF.1,0.045865859740013656
MYO16,0.04039198142417334
NDNF,0.0364532533242952
FAT1,0.024841390016062902
CSGALNACT1.3,0.011936663799231209
CSGALNACT1.2,0.009384812617735822
CSGALNACT1.1,0.0089291084548754
EGFR,0.00846670386850785
SYNPR.AS1.1,0.008214031499959785
SYNPR.AS1.2,0.008035300595275715
SYNPR.AS1,0.00783145889272456
TOX3.2,0.007382986040343807
CBLN4,0.007286378997587517
TOX3,0.006306451588600967
TOX3.1,0.005575529842258167
CSGALNACT1,0.005151464445427721
UTRN.1,0.0037838936940950063
DLX6.AS1,0.0037262137847467753
UTRN,0.0033179177818005575
NKAIN3,0.0031398458732903884
EPHA4,0.002961678815081056
UTRN.2,0.0027978611720518645
PTCHD4,0.002781696141178068
NPNT,0.002690496320040987
MPPED1.1,0.002578627510642807
GAD2,0.002501671213798408
ATP1B2,0.002464030753978134
LAMP5,0.0024291949942710747
GAD2.1,0.002397050956785656
GNG4,0.0021769740642014115
PLCXD3,0.002034705909568512
TRPC3.1,0.002022770033436513
MPPED1,0.0020001134903886784
SOX5,0.001960774350679206
TRPC3,0.001958345282057151
PLCXD3.1,0.0018105406923139865
BCL11B,0.0017467086984317877
LAMA3.4,0.0016974299195925658
ATP11C,0.0016498758128527925
LAMA3,0.001623000411968288
CDK6,0.00158572053179679
CHRM2.1,0.0015469595141827885
PTCHD4.1,0.001496805461785012
SOX5.2,0.001469341037428606
LAMA3.3,0.001441278033766251
CPLX3,0.0013817269937819927
PAPSS2.1,0.0012441453709766547
NTNG1.1,0.001080129051710521
LAMA3.2,0.0010730454573492974
PAPSS2,0.0008835438578662795
SOX13,0.0008344412195126371
CD36,0.0008028178425333442
CHRM2,0.000731560018893386
LAMA3.1,0.0007297633886497133
SOX5.1,0.0006637630080537225
SYP,0.0006603667975000165
TMEM200C,0.0006559046493063743
FRMPD1,0.0006361841301915582
WIF1.1,0.0005943754311206238
CDH7,0.0005814471506294213
C8ORF4.1,0.0005788403405416232
LIN7A,0.000567901349238634
KAL1.1,0.0005532686899386921
PDZRN4,0.0005402479192991407
PCDH9.AS1,0.0005273382999894642
SERPINE2.1,0.0004931774003983495
ADRA1A,0.00045695098432030476
DLX1,0.0004423077671274745
TRIM36,0.0004236767140993739
TAC3.1,0.00041695840471111715
TOX.1,0.0003982679993337284
LINC00472,0.0003922899150823183
CNTN6,0.0003882230710119894
KAL1,0.0003753843854345579
CLMP,0.0003655511250245562
GRIP2,0.000359335074812661
PTPRZ1.1,0.00035814976920472784
COL16A1,0.0003569004730861578
BCL11B.1,0.00035581357944312994
ADARB2.AS1.1,0.0003485859374257527
TOX,0.0003436537817931085
TRIM36.1,0.00034288087176981773
PREX2,0.00031938544000546
TOX.2,0.0003049570177816687
GRIP2.1,0.00030459458587791735
COL19A1,0.0002965101128126313
LRRC3B,0.0002958738693604732
BCL11A.1,0.00029121443334972165
TOX2,0.00028827142349213924
PROX1.1,0.0002829398744078133
C8ORF4,0.0002797633073551167
MAF,0.00027961679248178934
SPHKAP,0.0002771245575325464
MAPK4,0.0002725279886467845
PTGFR,0.00027198855788566125
OSBPL3,0.0002635382735854921
MIR4435.1HG,0.00025713280921351567
PKP2.1,0.0002548684568243228
SV2A,0.00025386189926904554
NXPH2.1,0.00025280806492408665
SCN3B,0.00025199512110130344
LRRC3B.1,0.000244095901312713
TMEM200C.1,0.00023917114598417268
PLXNA4.2,0.00023382424615406145
SEMA3C.1,0.00023282972622401323
NR2F2.AS1,0.00023155962351495326
BRINP1,0.00022557653587431355
BCL11A.2,0.00022421789676253538
TMEM200C.2,0.0002223135553826477
ELAVL2,0.00021191089597562537
KCNIP1,0.0002092971514273959
GABRG2,0.000205406754936933
DCN.4,0.00019806144168265548
S100B,0.00019605308733959404
NFIX,0.0001942803858283181
LINC00511,0.0001917452652774841
RBFOX3,0.000190978519667517
STARD13,0.00018762936854807607
CUX2.1,0.00018590386102985233
FAM135B,0.00018566597308649412
PBX3,0.00018453653185137185
COL21A1,0.0001835833795321557
OPRK1,0.00018297722147692046
ARHGAP31,0.00018064709711512205
NFIA,0.00017990485451101554
DCN.1,0.00017953032535326477
IGSF3,0.00017441179757364292
RORB,0.00017420587392902553
